id	title	description	link	image_link	additional_image_link	availability	condition	price	brand	identifier_exists	mpn	product_type	shipping_weight	shipping	return_policy_label
bird-bank	Bird Bank	This kit contains the parts to build your own mechanical money banking bird. Assemble the laser cut and solid wood pieces with glue and instructions provided. Put a coin in the birds mouth and wind the handle to watch him fly around and deposit it into the coin eating flower. This kit connects with other Animals in the Gearbox pet series, making them all move together.	https://www.contraptioncart.com/shop/bird-bank	https://i.etsystatic.com/25031074/r/il/0222dd/3203550682/il_fullxfull.3203550682_iyzb.jpg	https://i.etsystatic.com/25031074/r/il/4486c8/3203551604/il_fullxfull.3203551604_rro6.jpg,https://i.etsystatic.com/25031074/r/il/9979db/3203553146/il_fullxfull.3203553146_hypc.jpg,https://i.etsystatic.com/25031074/r/il/9be3b4/3251258721/il_fullxfull.3251258721_p7ze.jpg	in_stock	new	55.00 AUD	Contraption Cart	no	Bird-Money-Bank	automata	0.25 kg		default
bird-zoetrope	Bird Zoetrope	(See my other listings for the digital plans for this kit) Wind the handle to make the birds flap their wings. This works like a traditional film projector except rather than pictures there are 3D objects in each frame. The small gear is specially shaped so that rather than giving the big gear continuous motion, it is intermittent. This means there is a pause after each 45 degree rotation, allowing your eye to catch the bird as a still frame. When the handle is turned quickly these blend together into an animation. Most 3D Zoetropes use a strobe light to provide the still frame effect. I like this method because it does not require a dark room or electricity. This mechanism comes in kit form with all of the parts for you to slot together. I attempt to make the fits tight enough so that no glue is needed, but PVA can be used on any loose parts. Parts that seem to tight can be sanded.	https://www.contraptioncart.com/shop/bird-zoetrope	https://i.etsystatic.com/25031074/r/il/ff0b3f/3659623310/il_fullxfull.3659623310_2in0.jpg	https://i.etsystatic.com/25031074/r/il/b9ee3b/3707201635/il_fullxfull.3707201635_qjfn.jpg,https://i.etsystatic.com/25031074/r/il/b3f92c/3707201697/il_fullxfull.3707201697_pg8y.jpg,https://i.etsystatic.com/25031074/r/il/b6908d/3659583226/il_fullxfull.3659583226_dh53.jpg	in_stock	new	40.00 AUD	Contraption Cart	no	Bird-Zoetrope	automata	0.25 kg		default
chicken-and-egg	Chicken And Egg	In this magic trick we have a chicken box and an egg box. What is remarkable is that each box can fit perfectly inside the other. The egg fits inside the chicken, yet the chicken also fits inside the egg. How is this possible? Even more surprising, when we open back up the egg box, the chicken has magically become a dinosaur. The dimensions of each side of the box have been carefully calculated to enable this mysterious self nesting property. The trick comes either fully assembled or as a kit to assemble yourself. All parts are precut and ready to glue. Written instructions and performance video instructions included. Full perfrmance video at https://youtu.be/WDhFJ-TDIU0?si=44Ir_naF3NT92-6s To keep updated on new deigns, please follow me on Instagram @contraptioncart	https://www.contraptioncart.com/shop/chicken-and-egg	https://i.etsystatic.com/25031074/r/il/2f7da6/7693611964/il_fullxfull.7693611964_frf6.jpg	https://i.etsystatic.com/25031074/r/il/b6a068/7693595602/il_fullxfull.7693595602_auzo.jpg,https://i.etsystatic.com/25031074/r/il/b13865/7693616944/il_fullxfull.7693616944_evpk.jpg,https://i.etsystatic.com/25031074/r/il/085681/7741591041/il_fullxfull.7741591041_fzzl.jpg,https://i.etsystatic.com/25031074/r/il/534beb/7693651248/il_fullxfull.7693651248_p1wa.jpg,https://i.etsystatic.com/25031074/r/il/658b94/7741593059/il_fullxfull.7741593059_bvga.jpg,https://i.etsystatic.com/25031074/r/il/f19181/7741597269/il_fullxfull.7741597269_hqb9.jpg,https://i.etsystatic.com/25031074/r/il/4cb4d9/7693641834/il_fullxfull.7693641834_52g2.jpg	in_stock	new	50.00 AUD	Contraption Cart	no	Chicken-And-Egg-Box	magic tricks	0.25 kg		default
dice-tunnel	Dice Tunnel	A wooden dice magically changes number when passed through a wooden tube. This comes either as a kit to assemble yourself or fully assembled and ready to perform. Printed instructions are included as well as a link to a video with performance advice. This product is now made with durable 4mm thick birch ply	https://www.contraptioncart.com/shop/dice-tunnel	https://i.etsystatic.com/25031074/r/il/5fffc7/8021016916/il_fullxfull.8021016916_33ca.jpg	https://i.etsystatic.com/25031074/r/il/817efe/8068937009/il_fullxfull.8068937009_jhiw.jpg,https://i.etsystatic.com/25031074/r/il/07ce71/8021016902/il_fullxfull.8021016902_m2q4.jpg,https://i.etsystatic.com/25031074/r/il/4a53ee/8068937015/il_fullxfull.8068937015_ryz2.jpg,https://i.etsystatic.com/25031074/r/il/0af4dc/8021016908/il_fullxfull.8021016908_dxjj.jpg,https://i.etsystatic.com/25031074/r/il/3929fe/8069010185/il_fullxfull.8069010185_c3hd.jpg	in_stock	new	50.00 AUD	Contraption Cart	no	Dice-Tunnel	magic tricks	0.25 kg		default
dog-and-cat-running	Dog and Cat Running	This automata kit contains all parts and instructions to build two separate hand cranked moving models. Both a running cat and a running dog. It is a simple but interesting mechanism to watch as the animals leap and bound on your table. Parts generally can be pressed together. Any loose parts can be glued. Please see my other listings for the digital laser cutter files for this design.	https://www.contraptioncart.com/shop/dog-and-cat-running	https://i.etsystatic.com/25031074/r/il/1291ff/5741377892/il_fullxfull.5741377892_mo3z.jpg	https://i.etsystatic.com/25031074/r/il/347a0f/5741377836/il_fullxfull.5741377836_fd5l.jpg,https://i.etsystatic.com/25031074/r/il/116e27/5789451841/il_fullxfull.5789451841_dp7p.jpg,https://i.etsystatic.com/25031074/r/il/64f0f4/5789451843/il_fullxfull.5789451843_o1ks.jpg,https://i.etsystatic.com/25031074/r/il/60e936/5789451857/il_fullxfull.5789451857_ji9n.jpg,https://i.etsystatic.com/25031074/r/il/acb9d8/5789451849/il_fullxfull.5789451849_fp4d.jpg,https://i.etsystatic.com/25031074/r/il/889e75/5789451845/il_fullxfull.5789451845_5pug.jpg	in_stock	new	49.00 AUD	Contraption Cart	no	Dog-and-Cat-Running	automata	0.25 kg		default
dog-whirligig	Dog Whirligig	This is the Physical UNPAINTED kit. Please see my other listings for the digital plans. Put this little dog out in the garden to watch him eat vigorously from his bowl when the wind blows. Contains all of the parts and instructions to build the model. Birch plywood, stainless steel and brass. Other wind whirligigs are available in my store. You will need to glue, prime and paint with exterior paint to protect it from the weather. Select the assembled and painted option at checkout if you do not want to make it yourself. (The painting is done by hand so may vary slightly from the picture.) Length: 34cm height: 19cm (not including turbine) width: 5cm (not including turbine) Turbine diameter: 27cm	https://www.contraptioncart.com/shop/dog-whirligig	https://i.etsystatic.com/25031074/r/il/705fde/4218904869/il_fullxfull.4218904869_62e3.jpg	https://i.etsystatic.com/25031074/r/il/bc3045/4218904925/il_fullxfull.4218904925_igov.jpg,https://i.etsystatic.com/25031074/r/il/07c662/4218904967/il_fullxfull.4218904967_csof.jpg,https://i.etsystatic.com/25031074/r/il/b08489/4218904899/il_fullxfull.4218904899_tua4.jpg,https://i.etsystatic.com/25031074/r/il/7c85f0/4218916375/il_fullxfull.4218916375_kai3.jpg	in_stock	new	75.00 AUD	Contraption Cart	no	Dog-Whirligig	whirligigs	0.25 kg		default
fantail-whirligig	Fantail Whirligig	A wind powered fantail Whirligig bird. This is the physical kit. See my other listings for the digital plans. A strong wind will drive the turbine, which turns the mechanism to make the bird flap its wings. It comes premade and oiled or as a kit for you to assemble yourself. Birch plywood and stainless steel screws. Inspired by the sweet little Fantails in New Zealand where I grew up. It comes with a mounting stick that you will need to attach to a fence post or railing. Only put it out when the sun is shining as water will cause the wood to swell. I recommend putting it under a porch where it is not exposed to the rain.	https://www.contraptioncart.com/shop/fantail-whirligig	https://i.etsystatic.com/25031074/r/il/0ebaf9/5142894636/il_fullxfull.5142894636_j9vj.jpg	https://i.etsystatic.com/25031074/r/il/481b74/5191114997/il_fullxfull.5191114997_btxx.jpg,https://i.etsystatic.com/25031074/r/il/b72394/5142895886/il_fullxfull.5142895886_1ol2.jpg,https://i.etsystatic.com/25031074/r/il/32943c/5142895764/il_fullxfull.5142895764_jgyx.jpg,https://i.etsystatic.com/25031074/r/il/b634b8/5142895830/il_fullxfull.5142895830_em4p.jpg,https://i.etsystatic.com/25031074/r/il/409170/5142895658/il_fullxfull.5142895658_agua.jpg	in_stock	new	50.00 AUD	Contraption Cart	no	Fantail	whirligigs	0.25 kg		default
fisherman-whirligig	Fisherman Whirligig	This is the physical UNPAINTED kit. Please see my other listings for the Digital plans. Please select "assembled + painted" at checkout if your prefer this option. Put this little Fisherman out in the garden and watch him fish vigorously when the wind blows. This contains all of the parts and instructions to assemble the model. Parts are made from birch plywood, stainless steel and brass. Other wind whirligigs are available in my store. You will need glue and primer and exterior paint to protect it from the weather.	https://www.contraptioncart.com/shop/fisherman-whirligig	https://i.etsystatic.com/25031074/r/il/c0af1b/4227293783/il_fullxfull.4227293783_o4l3.jpg	https://i.etsystatic.com/25031074/r/il/d896c2/4227293737/il_fullxfull.4227293737_j97t.jpg,https://i.etsystatic.com/25031074/r/il/510740/4227293803/il_fullxfull.4227293803_4yz2.jpg,https://i.etsystatic.com/25031074/r/il/b08489/4218904899/il_fullxfull.4218904899_tua4.jpg,https://i.etsystatic.com/25031074/r/il/7c85f0/4218916375/il_fullxfull.4218916375_kai3.jpg	in_stock	new	75.00 AUD	Contraption Cart	no	Fisherman-whirligig	whirligigs	0.25 kg		default
fluttering-heart	Fluttering Heart	This is the physical kit. See my other listings for the digital files for this design. My goal with this mechanical flapping Heart sculpture was to mimic the beautiful figure of 8 wing motion seen in insects and hummingbirds. The model is all made from laser cut parts which slot together in under an hour. It is reasonably easy to assemble with instructions included.	https://www.contraptioncart.com/shop/fluttering-heart	https://i.etsystatic.com/25031074/r/il/355899/4526666951/il_fullxfull.4526666951_igt0.jpg	https://i.etsystatic.com/25031074/r/il/506b93/4479297714/il_fullxfull.4479297714_cb0m.jpg,https://i.etsystatic.com/25031074/r/il/dd5ceb/4526667027/il_fullxfull.4526667027_lkf3.jpg,https://i.etsystatic.com/25031074/r/il/5db36f/4526666743/il_fullxfull.4526666743_q1sj.jpg,https://i.etsystatic.com/25031074/r/il/8b9fbf/4526666871/il_fullxfull.4526666871_dbd2.jpg,https://i.etsystatic.com/25031074/r/il/b9e66d/4479297878/il_fullxfull.4479297878_jsi5.jpg	in_stock	new	40.00 AUD	Contraption Cart	no	Fluttering-Heart	automata	0.25 kg		default
goldfish	Goldfish	Build your own mechanical pet Goldfish. Turn the handle to make it swim around the tank. Tail and fins wiggle. This is also a fortune telling machine. First ask the fish a question. Put the little ball into the fish's mouth. He will swim around, open the mechanical iris and spit the ball into it. Open the drawer to see the answer to your question. This kit comes with all of the parts you need to assemble the moving model. This kit connects like a puzzle piece to other animals in the Gear Box Pet collection, allowing them to all move together in synchrony.	https://www.contraptioncart.com/shop/goldfish	https://i.etsystatic.com/25031074/r/il/54d3fc/3277769191/il_fullxfull.3277769191_chd1.jpg	https://i.etsystatic.com/25031074/r/il/dbfe49/3230086128/il_fullxfull.3230086128_au7d.jpg,https://i.etsystatic.com/25031074/r/il/3130e8/3230090922/il_fullxfull.3230090922_5cst.jpg,https://i.etsystatic.com/25031074/r/il/da9038/3230095764/il_fullxfull.3230095764_doti.jpg,https://i.etsystatic.com/25031074/r/il/209f3e/3230110444/il_fullxfull.3230110444_rft9.jpg,https://i.etsystatic.com/25031074/r/il/260abd/3277804971/il_fullxfull.3277804971_c9m7.jpg	in_stock	new	55.00 AUD	Contraption Cart	no	Goldfish-Gearbox-pet	automata	0.25 kg		default
