TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,VARIATION 1 TYPE,VARIATION 1 NAME,VARIATION 1 VALUES,VARIATION 2 TYPE,VARIATION 2 NAME,VARIATION 2 VALUES,SKU,CATEGORY
Sword Through Finger Magic Trick: Laser Cut Files (SVG DXF),"Instantly download these laser cutting files or search my other listings to have the physical item posted to you. Magically push a wooden sword right through your finger with this secret contraption. There is a secret mechanism to achieve this illusion. Download the SVG or DXF files for laser cutting and follow PDF assembly instructions. This gimmick is a fun craft project for kids and adults and an entertaining addition to your magician's performance. The 2.8mm file will suit wood between 2.5mm - 2.8mm wood. The 3.2mm file will suit wood between 2.9mm - 3.2mm wood. The files have a small 0.05mm kerf offset. You can add more if your laser kerf is larger and the fits are loose. Most parts should clip together without glue. A small amount of PVA or super glue is needed. Please contact me for a commercial license.

See all Magic Tricks in my Etsy store here
https://contraptioncart.etsy.com?section_id=55798303

To keep up to date with my upcoming designs, please follow me on instagram @contraptioncart",12,AUD,723,"sword_through_finger,knife_illusion,mechanical_model,craft_project,executive_toy,mystery_box,puzzle_box,magic_dagger_trick,magician_gimmick,Stem_project,card_trick,laser_cutting_files,wooden_toy",,https://i.etsystatic.com/25031074/r/il/f18e31/7352315017/il_fullxfull.7352315017_lnpb.jpg,https://i.etsystatic.com/25031074/r/il/edaf3c/7304361898/il_fullxfull.7304361898_anki.jpg,https://i.etsystatic.com/25031074/r/il/1a38a5/7304361938/il_fullxfull.7304361938_98n0.jpg,https://i.etsystatic.com/25031074/r/il/aeee75/7304361952/il_fullxfull.7304361952_shar.jpg,https://i.etsystatic.com/25031074/r/il/7c3974/7304361934/il_fullxfull.7304361934_ihra.jpg,https://i.etsystatic.com/25031074/r/il/a15b41/6299155720/il_fullxfull.6299155720_jwcr.jpg,https://i.etsystatic.com/25031074/r/il/f607a6/6299155692/il_fullxfull.6299155692_ll66.jpg,https://i.etsystatic.com/25031074/r/il/3a2bc5/7352315069/il_fullxfull.7352315069_idud.jpg,https://i.etsystatic.com/25031074/r/il/d0aa2e/7266685368/il_fullxfull.7266685368_4225.jpg,,,,,,,,1,magic tricks
"Mini Cryptex Puzzle Box Laser Cut Files, SVG DXF PDF, Spell and Spin learning toy","These are digital download plans. See my other listings for the posted version. 
This is a mini version of the famous Cryptex puzzle from the Davinci Code. Turn the dials to build different words. Find the secret word to open the drawer to the puzzle box. This box doubles as a fun learning tool for early readers, allowing them to explore the effect of swapping letters in simple words. 
My goal with this design was to offer a cryptex that did not require a huge amount of pieces and time to assemble. It can fit within a 200mm x 300mm sheet. I also wanted a toy to encourage my 4 year old with her interest in letters. She has been enjoying reading simple words and making up her own. I have carefully selected which letters to put on each dial such that many 3 letter words can be made. My 4 year old also loves treasure hunts, so a prize inside is a great motivation to create the correct word. You can choose where to place the tiles in order to set your own solution word. If your fits are tight enough then you can avoid glue, allowing you to reset the word to a different one. There are 125 possible combinations, so even an adult will need some time to solve it.
The files suit 3.2mm wood but should work down to 2.8mm without scaling. For better fits or wood greater than 3.2mm, you can scale the file to suit your wood thickness. If you want to use it as a ring box, you can scale it up to suit 4mm wood. It should then be large enough to fit a ring.
You will receive svg, dxf, pdf and lightburn files. The pdf has assembly instructions.
Please contact me for commercial use.
Please follow me on instagram to keep up to date with my latest designs. @contraptioncart",10,AUD,944,"davinci_code,puzzle_box,wooden_puzzle,spelling_toy,educational_toy,escape_room,secret_box,ring_box,laser_cut_files,engineering,mechanism,stem,Montessori",,https://i.etsystatic.com/25031074/r/il/4d4af1/7431628092/il_fullxfull.7431628092_pq2y.jpg,https://i.etsystatic.com/25031074/r/il/401962/7479523003/il_fullxfull.7479523003_nnoi.jpg,https://i.etsystatic.com/25031074/r/il/a2e37b/7479523087/il_fullxfull.7479523087_l2b8.jpg,https://i.etsystatic.com/25031074/r/il/4be09d/7431604986/il_fullxfull.7431604986_bziy.jpg,https://i.etsystatic.com/25031074/r/il/5253df/7431605002/il_fullxfull.7431605002_mubi.jpg,https://i.etsystatic.com/25031074/r/il/c56715/7431604994/il_fullxfull.7431604994_jkz0.jpg,https://i.etsystatic.com/25031074/r/il/45212d/7431605022/il_fullxfull.7431605022_c8r8.jpg,https://i.etsystatic.com/25031074/r/il/e0df70/7479523077/il_fullxfull.7479523077_i7lf.jpg,https://i.etsystatic.com/25031074/r/il/4e7651/7479523045/il_fullxfull.7479523045_eauu.jpg,,,,,,,,2,puzzle boxes
Slide Picture Puzzle Box Kit Davinci's Vitruvian man,"Solve the picture to open the box.
(This is a physical kit. Please see my other listings for the digital plans)

We have all toiled over these slide picture puzzles as kids, only to find ourselves
stuck with one little piece impossible to get into the correct position without undoing
all of our hard work. As an adult I feel I have finally put this conundrum to rest and
have discovered the secret method. I then set about designing a secret box
that can only be opened by solving one of these engaging little slide picture puzzles.
Here is the result. The secret method is etched on the wall panels. The image to
unscramble is Leonardo Davinci's famous Vitruvian Man.",40,AUD,8,"Puzzlebox,Vitruvian_Man,Laser_cut,Stem,Steam,Puzzle,Mechanism,Gift_for_men,Leonardo_davinci,Secret_box,Technical,Maker,Wooden_toy",,https://i.etsystatic.com/25031074/r/il/ccf267/4561367052/il_fullxfull.4561367052_lf6h.jpg,https://i.etsystatic.com/25031074/r/il/0e0f58/4561399410/il_fullxfull.4561399410_esz3.jpg,https://i.etsystatic.com/25031074/r/il/c217fb/4561399596/il_fullxfull.4561399596_1lqt.jpg,https://i.etsystatic.com/25031074/r/il/4b7ae5/4608757719/il_fullxfull.4608757719_434b.jpg,https://i.etsystatic.com/25031074/r/il/d684d7/4561399476/il_fullxfull.4561399476_prmd.jpg,https://i.etsystatic.com/25031074/r/il/a7828b/4608788363/il_fullxfull.4608788363_i7hq.jpg,,,,,Custom Property,Assembly,"Kit,Assembled",,,,4,puzzle boxes
"Mouse Maze Puzzle Box, wooden mystery Box","This is the physical product. See my other listings for the digital plans.
In order to open the box you must navigate the mouse to the center of the maze. This is done with a rotating disc and a sliding rod. 

Made from laser cut Birch plywood it comes fully assembled and glued or as a kit with all of the parts and assembly instructions. Please select your preference at checkout.",40,AUD,7,"wooden_puzzle,puzzle_box,puzzle,maze,laser_cut,mouse,trick,magic,secret,gift,gift_box,brain,labyrinth",,https://i.etsystatic.com/25031074/r/il/85639c/4250092607/il_fullxfull.4250092607_ktow.jpg,https://i.etsystatic.com/25031074/r/il/b4ba6b/4202437124/il_fullxfull.4202437124_7s5x.jpg,https://i.etsystatic.com/25031074/r/il/8df77e/4250092605/il_fullxfull.4250092605_6ytl.jpg,https://i.etsystatic.com/25031074/r/il/5efee0/4250092615/il_fullxfull.4250092615_4s91.jpg,https://i.etsystatic.com/25031074/r/il/8f5f60/4193962034/il_fullxfull.4193962034_bnun.jpg,,,,,,Custom Property,Assembly,"Assembled,Kit",,,,3,puzzle boxes
"Mechanical Calculator, Math and Science Toy, Wooden Mechanism, Model Engineering Kit","This is a working Mechanical Calculator using wooden gears. It is available fully assembled or as a kit with all of the parts pre-cut and ready to assemble yourself.
(Please see my other listings for these laser cut files to download.)
The design is based on the mechanical calculators that were used before the invention of electronic computers. The machine performs arithmetic using gears. You can add and subtract up to 4 significant figures. You can even use it to do multiplication and division. A great learning tool to demonstrate place value and the carry operation in arithmetic. It can be made in under 1 hour. Recommended ages 8 and up.
Follow me on instagram to keep updated on my latest projects. @contraptioncart",50,AUD,981,"mechanical_toy,math_toy,stem,mechanism,gadget,kes_adder,curta,dial_calculator,automata,office_toy,model_making,science,engineering",Plywood,https://i.etsystatic.com/25031074/r/il/49b9ec/7764225703/il_fullxfull.7764225703_iat4.jpg,https://i.etsystatic.com/25031074/r/il/8bcbb8/7716311712/il_fullxfull.7716311712_7nth.jpg,https://i.etsystatic.com/25031074/r/il/b74ba2/7716311710/il_fullxfull.7716311710_hv8t.jpg,https://i.etsystatic.com/25031074/r/il/874043/7295300476/il_fullxfull.7295300476_s13q.jpg,https://i.etsystatic.com/25031074/r/il/cc2b51/7343250081/il_fullxfull.7343250081_e9fq.jpg,https://i.etsystatic.com/25031074/r/il/1ab34b/7343249981/il_fullxfull.7343249981_i215.jpg,https://i.etsystatic.com/25031074/r/il/e3b5f2/7295300502/il_fullxfull.7295300502_jt9c.jpg,https://i.etsystatic.com/25031074/r/il/4e6580/7295300298/il_fullxfull.7295300298_mjcx.jpg,,,Custom Property,Assembly,"Kit,Assembled",,,,5,toys and games
"Woodchopper whirligig plans, laser cut files, scroll saw, svg dxf pdf","These are the digital plans. Please see my other listings for the physical product or kit.
Put this little Woodchopper out in the garden and watch him chop vigorously when the wind blows. Painted birch plywood, stainless steel and brass. Other wind whirligigs are available in my store.
Files are included for
3mm, 3,2mm, 3,4mm and 4mm plywood.
You will need the following parts to make this model, most of which I find on Ebay. Alternatively check the physical listing to purchase the metal hardware or plywood parts from me.

- plywood
- M3 x 16mm stainless steel machine screw
- 3mm Stainless steel rod
- 15A brass terminal block (to fit rod) x 3
- stainless steel wire 1mm (or galvanized tie wire)
- Brass eyelets 3.5mm ID 3.8mm OD x 4
- brass tube 4mm OD 0.4mm wall thickness  70mm long(To fit rod loosely)
- Brass tube 5mm OD 0.5mm wall thickness 50mm long
- M3 washer stainless steel x 5
- Eyelet flaring tool, I just use a nail with the head rounded in the grinder.
- Outdoor paint and primer if you want to protect it from the weather

If you make the shaft and push wires yourself you will need to bend the with a vise and pliers according to the plans

The sizes above can vary depending on what you can get hold of. As long as you have easy running fits between shafts, screws, tubes, and eyelets. You may need to widen the holes in the wood if your hardware is a different size than specified above.

The files come as DXF, SVG and PDF so parts can be laser cut or scroll sawed. Files come as exact sizes. To account for the laser kerf and give snug fitsyou will need to apply kerf offsets suitable to your machine and wood . 

To keep up to date on my files and projects, you are wellcome to follow me on instagram and facebook @contraptioncart",14,AUD,902,"wooden_puzzle,model,stem,craft,whirligig,automata,kinetic_art,scroll_saw,maker,karakuri,toy,woodchopper,laser_cut_files",,https://i.etsystatic.com/25031074/r/il/5f3d80/4182614388/il_fullxfull.4182614388_pzqy.jpg,https://i.etsystatic.com/25031074/r/il/bc7792/4182614394/il_fullxfull.4182614394_fcpq.jpg,https://i.etsystatic.com/25031074/r/il/0be624/4230272119/il_fullxfull.4230272119_99ns.jpg,https://i.etsystatic.com/25031074/r/il/b08489/4218904899/il_fullxfull.4218904899_tua4.jpg,https://i.etsystatic.com/25031074/r/il/7c85f0/4218916375/il_fullxfull.4218916375_kai3.jpg,,,,,,,,,,,,6,other
Cam Box laser cutter plans svg dxf,"This is a digital download not a physical posted kit.
This design was requested by a technology teacher to help her students learn and explore the effect of different cam shapes. There are slots on the followers to mount your own objects or characters.
The file come as a long 20cm version and a shorter 10cm version.
Files are to suit 3.2mm thick wood, and will need scaling if your wood is a different thickness. Please read the laser cutting instructions in the PDF to see how to cut the files correctly. SVG and DXF files included as well as pdf assembly instructions. Please contact me to ask about a commercial license.",12,AUD,912,"technology_teacher,stem,engineering,mechanism,automata,cams,science,education,robotics,wooden_puzzle,learning,build,laser_cut_files",,https://i.etsystatic.com/25031074/r/il/5212ba/5833507789/il_fullxfull.5833507789_ch6z.jpg,https://i.etsystatic.com/25031074/r/il/d9aebb/5785435886/il_fullxfull.5785435886_is3d.jpg,https://i.etsystatic.com/25031074/r/il/efb258/5785435890/il_fullxfull.5785435890_60vh.jpg,https://i.etsystatic.com/25031074/r/il/b2d08a/5785435894/il_fullxfull.5785435894_mvim.jpg,,,,,,,,,,,,,7,other
Hummingbird and Flower Automaton Laser Cut plans SVG DXF,"These are Digital plans.  Please see my other listings for the physical version of this design.

Turn the crank handle to watch the hummingbird flap its wings and lower its tail as it dips in and out of the flower.
This design uses a unique mechanism in the wings to give the hummingbird its elegant figure of eight flapping motion. 

You will receive digital plans to download in SVG, and DXF format, with detailed pdf assembly instructions.

The files are for 3.2mm (1/8th inch) thick wood. Please measure your wood with calipers. If your wood differs by greater 0.1mm then you will need to scale the file for good results. This ensures precise fits in the mechanisms. For example, if my wood is 3mm, I scale the file by 94%. 3÷3.2=0.94.

I have made these successfully from birch plywood and mdf. 
I try to achieve press fits, but any loose joints can be glued for security. Please read the laser cutting instructions included in the pdf before cutting. This will ensure correct accurate fits. Don't hesitate to message me if you need any help.
Please contact me for a commercial licence.",15,AUD,346,"Hummingbird,Automata,Kits,Wooden_gift,STEM_education,Craft,Maker,Model,Engineering,Robotics,Technology,Woodwork,laser_cut_files",,https://i.etsystatic.com/25031074/r/il/01063d/5695088708/il_fullxfull.5695088708_rwak.jpg,https://i.etsystatic.com/25031074/r/il/55508e/5743135137/il_fullxfull.5743135137_ra1z.jpg,https://i.etsystatic.com/25031074/r/il/46e065/5695084474/il_fullxfull.5695084474_ear0.jpg,https://i.etsystatic.com/25031074/r/il/f1ce33/5743135227/il_fullxfull.5743135227_gb8s.jpg,https://i.etsystatic.com/25031074/r/il/949c36/5695084472/il_fullxfull.5695084472_1nsh.jpg,https://i.etsystatic.com/25031074/r/il/8676eb/5743135233/il_fullxfull.5743135233_m9ju.jpg,,,,,,,,,,,8,automata
Magic Empty Box Laser Cutter Files SVG DXF,"These are digital files. Please contact me if you would like the physical kit.
This box allows you to perform a magic trick. The magician flips open 2 doors, allowing the audience to look right through the empty box. The magician shuts the doors and then tips the box over and magically pours out a large pile of colorful sweets onto the table. You could alternatively pull a handkerchief out from the top of the box or reveal any small enough item of your choice. You could also use the box to make items disappear. This secret gimmick will be revealed when you view the pdf instructions.

You will receive DXF and SVG files to use with your laser cutter as well as PDF  instructions on assembly and how to perform the trick.
The files suit 3mm-3.2mm wood. You may get away with as thin as 2.8mm before scaling is required. If your wood is thicker than 3.2mm you can scale the file to suit it. 
Please contact me if you would like a commercial license.",12,AUD,773,"magic,trick,puzzle_box,mystery,secret,maker,craft,project,stem,education,technology,DIY,laser_cut_files",,https://i.etsystatic.com/25031074/r/il/08527a/6018144899/il_fullxfull.6018144899_p5zp.jpg,https://i.etsystatic.com/25031074/r/il/6fd33e/6018142455/il_fullxfull.6018142455_dhxb.jpg,https://i.etsystatic.com/25031074/r/il/e84b2e/6018144829/il_fullxfull.6018144829_cysi.jpg,https://i.etsystatic.com/25031074/r/il/514db0/6018144763/il_fullxfull.6018144763_bike.jpg,https://i.etsystatic.com/25031074/r/il/0812e7/6018144787/il_fullxfull.6018144787_4nsx.jpg,https://i.etsystatic.com/25031074/r/il/e49420/5970064254/il_fullxfull.5970064254_7qx8.jpg,,,,,,,,,,,10,magic tricks
Magic Pencil Box Laser Cutter Plans SVG DXF PDF,"These are digital plans for laser cutting. Please see my other listings for the physical kit.
This box allows you to perform a magic trick. The magician slides the pencil into the box then effortlessly slides out the middle of the box, dividing the pencil into 3 pieces. The broken pieces can be removed for inspection then returned to the box. The middle is then pushed back into place and the pencil slid out restored magicaly back into one.

These plans suit 2.5mm to 3.6mm material. They come as svg and dxf files as well as pdf templates and assembly instructions.
Use the 3.2mm file for wood between 2.5-3.2mm.
Use the 3.6mm file for wood between 3.2-3.6mm.

Please contact me for commercial use.
The best place to keep up to date with my latest designs is to  follow me on instagram: search @contraptioncart",12,AUD,562,"magic,box,trick,pencil,puzzle,wood,secret,prop,magician,plans,toy,mystery,laser_cut_files",,https://i.etsystatic.com/25031074/r/il/a00cf2/6050321221/il_fullxfull.6050321221_1xu3.jpg,https://i.etsystatic.com/25031074/r/il/aab0e7/6002243558/il_fullxfull.6002243558_40hf.jpg,https://i.etsystatic.com/25031074/r/il/1af2a8/6050324747/il_fullxfull.6050324747_jyta.jpg,https://i.etsystatic.com/25031074/r/il/6a56ad/6050324819/il_fullxfull.6050324819_5bur.jpg,https://i.etsystatic.com/25031074/r/il/cc58bb/5939409963/il_fullxfull.5939409963_ctop.jpg,https://i.etsystatic.com/25031074/r/il/f03ec8/5891327482/il_fullxfull.5891327482_dwpn.jpg,https://i.etsystatic.com/25031074/r/il/e73d0e/5891327478/il_fullxfull.5891327478_h99m.jpg,,,,,,,,,,9,magic tricks
